--------------------Experiment_Info------------------------

Datetime: 16-35-32_21-06-2024
Characterization: Static
Mode: Manual

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 3039532.93576340, 0.1675,  44854.145777, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.93826340, 0.1700,  44854.184245, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.94076340, 0.1725,  44854.222713, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.94326340, 0.1750,  44854.261181, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.94576340, 0.1775,  44854.299649, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.94826340, 0.1800,  44854.338117, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.95076340, 0.1825,  44854.568163, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.95326340, 0.1850,  44854.531080, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.95576340, 0.1875,  44854.436022, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.95826340, 0.1900,  44854.415639, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.96076340, 0.1925,  44854.435482, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.96326340, 0.1950,  44854.419307, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.96576340, 0.1975,  44854.411842, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.96826340, 0.2000,  44854.405022, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.97076340, 0.2025,  44854.398201, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.97326340, 0.2050,  44854.391380, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.97576340, 0.2075,  44854.360948, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.97826340, 0.2100,  44854.251040, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.98076340, 0.2125,  44854.247141, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.98326340, 0.2150,  44854.247141, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.98576340, 0.2175,  44854.347623, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.98826340, 0.2200,  44854.470219, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.99076340, 0.2225,  44854.186356, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.99326340, 0.2250,  44854.060152, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.99576340, 0.2275,  44854.126403, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039532.99826340, 0.2300,  44854.192655, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.00076340, 0.2325,  44854.258907, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.00326340, 0.2350,  44854.337384, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.00576340, 0.2375,  44854.436611, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.00826340, 0.2400,  44854.535839, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.01076340, 0.2425,  44854.609732, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.01326340, 0.2450,  44853.938550, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.01576340, 0.2475,  44853.959136, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.01826340, 0.2500,  44853.997529, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.02076340, 0.2525,  44854.052886, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.02326340, 0.2550,  44854.108242, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.02576340, 0.2575,  44854.163599, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.02826340, 0.2600,  44854.218956, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.03076340, 0.2625,  44854.274313, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.03326340, 0.2650,  44854.329670, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.03576340, 0.2675,  44854.196175, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.03826340, 0.2700,  44854.090595, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.04076340, 0.2725,  44854.226065, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.04326340, 0.2750,  44854.361534, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.04576340, 0.2775,  44854.497004, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.04826340, 0.2800,  44854.417409, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.05076340, 0.2825,  44854.193604, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.05326340, 0.2850,  44854.150678, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.05576340, 0.2875,  44854.337866, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3039533.05826340, 0.2900,  44854.525053, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
