--------------------Experiment_Info------------------------

Datetime: 13-19-52_29-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x0000026BEAF6FD90>
Modulation frequency (Hz): 10.0
Start position (mm): 45
End position (mm): 45
Step size (mm): 0
Target voltage (V): 2500
Start mod. freq. (Hz): 10
End mod. freq. (Hz): 50
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 3282.67352780, 0.2150, -1.719479, 45.000, 2.5, 2500.0, 2534.7, -34.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.67602780, 0.2175, -1.719479, 45.000, 2.5, 2500.0, 2535.2, -35.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.67852780, 0.2200, -1.719479, 45.000, 2.5, 2500.0, 2535.6, -35.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.68102780, 0.2225, -2.124534, 45.000, 2.5, 2500.0, 2536.1, -36.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.68352780, 0.2250, -2.604617, 45.000, 2.5, 2500.0, 2536.6, -36.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.68602780, 0.2275, -2.054521, 45.000, 2.5, 2500.0, 2537.0, -37.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.68852780, 0.2300, -0.182813, 45.000, 2.5, 2500.0, 2537.5, -37.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.69102780, 0.2325,  1.688894, 45.000, 2.5, 2500.0, 2538.0, -38.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.69352780, 0.2350,  2.469838, 45.000, 2.5, 2500.0, 2538.5, -38.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.69602780, 0.2375,  2.207646, 45.000, 2.5, 2500.0, 2538.9, -38.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.69852780, 0.2400,  1.945454, 45.000, 2.5, 2500.0, 2539.4, -39.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.70102780, 0.2425,  1.454070, 45.000, 2.5, 2500.0, 2539.9, -39.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.70352780, 0.2450,  0.510408, 45.000, 2.5, 2500.0, 2540.4, -40.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.70602780, 0.2475, -0.493999, 45.000, 2.5, 2500.0, 2540.8, -40.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.71102780, 0.2525, -2.477807, 45.000, 2.5, 2500.0, 2543.0, -43.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.71352780, 0.2550,  1.878219, 45.000, 2.5, 2500.0, 2545.6, -45.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.71602780, 0.2575,  0.434149, 45.000, 2.5, 2500.0, 2548.1, -48.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.71852780, 0.2600, -1.195990, 45.000, 2.5, 2500.0, 2550.6, -50.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.72102780, 0.2625,  2.152520, 45.000, 2.5, 2500.0, 2553.2, -53.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.72352780, 0.2650,  0.350668, 45.000, 2.5, 2500.0, 2555.7, -55.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.72602780, 0.2675, -0.721063, 45.000, 2.5, 2500.0, 2558.2, -58.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.72852780, 0.2700, -0.396833, 45.000, 2.5, 2500.0, 2560.7, -60.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.73102780, 0.2725,  1.850485, 45.000, 2.5, 2500.0, 2563.3, -63.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.73352780, 0.2750, -1.288017, 45.000, 2.5, 2500.0, 2565.8, -65.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.73602780, 0.2775, -0.558298, 45.000, 2.5, 2500.0, 2568.3, -68.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.73852780, 0.2800,  1.722361, 45.000, 2.5, 2500.0, 2570.9, -70.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.74102780, 0.2825,  1.578857, 45.000, 2.5, 2500.0, 2573.4, -73.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.74352780, 0.2850, -0.014492, 45.000, 2.5, 2500.0, 2575.9, -75.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.74602780, 0.2875, -1.066231, 45.000, 2.5, 2500.0, 2578.4, -78.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.74852780, 0.2900,  1.004799, 45.000, 2.5, 2500.0, 2581.0, -81.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.75352780, 0.2950,  0.329262, 45.000, 2.5, 2500.0, 2560.8, -60.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.75602780, 0.2975, -0.846291, 45.000, 2.5, 2500.0, 2534.6, -34.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.75852780, 0.3000, -0.003204, 45.000, 2.5, 2500.0, 2508.4,  -8.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.76102780, 0.3025,  0.839884, 45.000, 2.5, 2500.0, 2482.2,  17.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.76352780, 0.3050,  0.482807, 45.000, 2.5, 2500.0, 2456.0,  44.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.76602780, 0.3075, -0.022154, 45.000, 2.5, 2500.0, 2429.8,  70.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.76852780, 0.3100, -0.266107, 45.000, 2.5, 2500.0, 2403.5,  96.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.77102780, 0.3125, -0.820222, 45.000, 2.5, 2500.0, 2377.3,  122.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.77352780, 0.3150,  0.178121, 45.000, 2.5, 2500.0, 2351.1,  148.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.77602780, 0.3175,  0.956538, 45.000, 2.5, 2500.0, 2324.9,  175.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.77852780, 0.3200, -1.131122, 45.000, 2.5, 2500.0, 2298.7,  201.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.78102780, 0.3225, -0.699284, 45.000, 2.5, 2500.0, 2295.3,  204.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.78352780, 0.3250,  0.925835, 45.000, 2.5, 2500.0, 2308.9,  191.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.78602780, 0.3275, -0.044275, 45.000, 2.5, 2500.0, 2322.4,  177.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.78852780, 0.3300, -1.261868, 45.000, 2.5, 2500.0, 2335.9,  164.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.79102780, 0.3325, -0.570180, 45.000, 2.5, 2500.0, 2349.5,  150.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.79352780, 0.3350,  0.516689, 45.000, 2.5, 2500.0, 2363.0,  137.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.79602780, 0.3375, -0.825465, 45.000, 2.5, 2500.0, 2376.6,  123.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.79852780, 0.3400, -0.822880, 45.000, 2.5, 2500.0, 2390.1,  109.9,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.80102780, 0.3425, -0.717155, 45.000, 2.5, 2500.0, 2403.7,  96.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.80352780, 0.3450, -0.041571, 45.000, 2.5, 2500.0, 2417.2,  82.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.80602780, 0.3475, -0.041571, 45.000, 2.5, 2500.0, 2430.7,  69.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.80852780, 0.3500, -0.026959, 45.000, 2.5, 2500.0, 2444.3,  55.7,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
