--------------------Experiment_Info------------------------

Datetime: 13-17-39_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Voltage and Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Start voltage (V): 2000
End voltage (V): 3000
Step voltage (V): 500

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 707725.84885240, 0.2375,  1.287977, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.85135240, 0.2400,  1.304161, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.85385240, 0.2425,  1.354528, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.85635240, 0.2450,  1.401175, 5.000, 3.5, 2000.0, 2005.4,  -5.4,  0.0,  0.0,  0.0
A, 707725.85885240, 0.2475,  1.428085, 5.000, 3.5, 2000.0, 2005.3,  -5.3,  0.0,  0.0,  0.0
A, 707725.86135240, 0.2500,  1.434536, 5.000, 3.5, 2000.0, 2005.2,  -5.2,  0.0,  0.0,  0.0
A, 707725.86385240, 0.2525,  1.401573, 5.000, 3.5, 2000.0, 2005.1,  -5.1,  0.0,  0.0,  0.0
A, 707725.86635240, 0.2550,  1.381142, 5.000, 3.5, 2000.0, 2005.1,  -5.1,  0.0,  0.0,  0.0
A, 707725.86885240, 0.2575,  1.341427, 5.000, 3.5, 2000.0, 2005.0,  -5.0,  0.0,  0.0,  0.0
A, 707725.87135240, 0.2600,  1.330998, 5.000, 3.5, 2000.0, 2004.9,  -4.9,  0.0,  0.0,  0.0
A, 707725.87385240, 0.2625,  1.391339, 5.000, 3.5, 2000.0, 2004.8,  -4.8,  0.0,  0.0,  0.0
A, 707725.87635240, 0.2650,  1.442670, 5.000, 3.5, 2000.0, 2004.7,  -4.7,  0.0,  0.0,  0.0
A, 707725.87885240, 0.2675,  1.434872, 5.000, 3.5, 2000.0, 2004.6,  -4.6,  0.0,  0.0,  0.0
A, 707725.88135240, 0.2700,  1.411823, 5.000, 3.5, 2000.0, 2004.6,  -4.6,  0.0,  0.0,  0.0
A, 707725.88385240, 0.2725,  1.264671, 5.000, 3.5, 2000.0, 2004.5,  -4.5,  0.0,  0.0,  0.0
A, 707725.88635240, 0.2750,  1.272700, 5.000, 3.5, 2000.0, 2004.4,  -4.4,  0.0,  0.0,  0.0
A, 707725.88885240, 0.2775,  1.297732, 5.000, 3.5, 2000.0, 2004.3,  -4.3,  0.0,  0.0,  0.0
A, 707725.89135240, 0.2800,  1.359409, 5.000, 3.5, 2000.0, 2004.2,  -4.2,  0.0,  0.0,  0.0
A, 707725.89385240, 0.2825,  1.377747, 5.000, 3.5, 2000.0, 2004.2,  -4.2,  0.0,  0.0,  0.0
A, 707725.89635240, 0.2850,  1.385457, 5.000, 3.5, 2000.0, 2004.1,  -4.1,  0.0,  0.0,  0.0
A, 707725.89885240, 0.2875,  1.420138, 5.000, 3.5, 2000.0, 2004.0,  -4.0,  0.0,  0.0,  0.0
A, 707725.90135240, 0.2900,  1.389640, 5.000, 3.5, 2000.0, 2003.9,  -3.9,  0.0,  0.0,  0.0
