--------------------Experiment_Info------------------------

Datetime: 15-58-36_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 717382.90619580, 0.1400,  2.873386, 5.000, 3.5, 3000.0, 3000.8,  -0.8,  0.0,  0.0,  0.0
A, 717382.90869580, 0.1425,  2.848929, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717382.91119580, 0.1450,  2.898010, 5.000, 3.5, 3000.0, 3000.8,  -0.8,  0.0,  0.0,  0.0
A, 717382.91369580, 0.1475,  2.790145, 5.000, 3.5, 3000.0, 3000.6,  -0.6,  0.0,  0.0,  0.0
A, 717382.91619580, 0.1500,  2.774361, 5.000, 3.5, 3000.0, 3000.4,  -0.4,  0.0,  0.0,  0.0
A, 717382.91869580, 0.1525,  2.739495, 5.000, 3.5, 3000.0, 3000.1,  -0.1,  0.0,  0.0,  0.0
A, 717382.92119580, 0.1550,  2.739495, 5.000, 3.5, 3000.0, 2999.9,   0.1,  0.0,  0.0,  0.0
A, 717382.92369580, 0.1575,  2.739495, 5.000, 3.5, 3000.0, 2999.7,   0.3,  0.0,  0.0,  0.0
A, 717382.92619580, 0.1600,  2.739495, 5.000, 3.5, 3000.0, 2999.4,   0.6,  0.0,  0.0,  0.0
A, 717382.92869580, 0.1625,  2.820122, 5.000, 3.5, 3000.0, 2999.2,   0.8,  0.0,  0.0,  0.0
A, 717382.93119580, 0.1650,  2.820122, 5.000, 3.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 717382.93369580, 0.1675,  2.820122, 5.000, 3.5, 3000.0, 2998.7,   1.3,  0.0,  0.0,  0.0
A, 717382.93619580, 0.1700,  2.823307, 5.000, 3.5, 3000.0, 2998.5,   1.5,  0.0,  0.0,  0.0
A, 717382.93869580, 0.1725,  2.850282, 5.000, 3.5, 3000.0, 2998.3,   1.7,  0.0,  0.0,  0.0
A, 717382.94119580, 0.1750,  2.877256, 5.000, 3.5, 3000.0, 2998.0,   2.0,  0.0,  0.0,  0.0
A, 717382.94369580, 0.1775,  2.904231, 5.000, 3.5, 3000.0, 2997.8,   2.2,  0.0,  0.0,  0.0
A, 717382.94619580, 0.1800,  2.931206, 5.000, 3.5, 3000.0, 2997.6,   2.4,  0.0,  0.0,  0.0
A, 717382.94869580, 0.1825,  2.874176, 5.000, 3.5, 3000.0, 2997.3,   2.7,  0.0,  0.0,  0.0
A, 717382.95119580, 0.1850,  2.820666, 5.000, 3.5, 3000.0, 2997.1,   2.9,  0.0,  0.0,  0.0
A, 717382.95369580, 0.1875,  2.832898, 5.000, 3.5, 3000.0, 2996.9,   3.1,  0.0,  0.0,  0.0
A, 717382.95619580, 0.1900,  2.794240, 5.000, 3.5, 3000.0, 2996.6,   3.4,  0.0,  0.0,  0.0
A, 717382.95869580, 0.1925,  2.753963, 5.000, 3.5, 3000.0, 2996.4,   3.6,  0.0,  0.0,  0.0
