--------------------Experiment_Info------------------------

Datetime: 11-25-47_02-08-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 0
End position (mm): 1.2
Step size (mm): 5
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 342050.44109680, 0.1675, -5.545504, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.44359680, 0.1700, -5.575581, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.44609680, 0.1725, -5.591433, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.44859680, 0.1750, -5.572894, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.45109680, 0.1775, -5.559152, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.45359680, 0.1800, -5.545411, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.45609680, 0.1825, -5.541066, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.45859680, 0.1850, -5.552549, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.46109680, 0.1875, -5.564033, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.46359680, 0.1900, -5.575517, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.46609680, 0.1925, -5.630469, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.46859680, 0.1950, -5.687190, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.47109680, 0.1975, -5.697908, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.47359680, 0.2000, -5.671387, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.47609680, 0.2025, -5.682590, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.47859680, 0.2050, -5.696317, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.48109680, 0.2075, -5.709789, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.48359680, 0.2100, -5.720346, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.48609680, 0.2125, -5.712427, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.48859680, 0.2150, -5.719361, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.49109680, 0.2175, -5.769689, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.49359680, 0.2200, -5.805831, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.49609680, 0.2225, -5.804387, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.49859680, 0.2250, -5.763097, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.50109680, 0.2275, -5.733025, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.50359680, 0.2300, -5.821817, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.50609680, 0.2325, -5.826935, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.50859680, 0.2350, -5.834007, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.51109680, 0.2375, -5.856909, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.51359680, 0.2400, -5.883435, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.51609680, 0.2425, -5.909962, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.51859680, 0.2450, -5.918131, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.52109680, 0.2475, -5.918131, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.52359680, 0.2500, -5.918131, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.52609680, 0.2525, -5.935844, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.52859680, 0.2550, -5.981141, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.53109680, 0.2575, -5.938570, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.53359680, 0.2600, -5.896845, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.53609680, 0.2625, -5.892093, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.53859680, 0.2650, -5.965271, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.54359680, 0.2700, -6.044486, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.54609680, 0.2725, -6.028444, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.54859680, 0.2750, -6.006672, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.55109680, 0.2775, -5.984900, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.55359680, 0.2800, -5.993613, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
